Age,Birth Place,Birthday,College,Current Status,Current Team,Experience,Height (inches),High School,High School Location,Name,Number,Player Id,Position,Weight (lbs),Years Played
66,"Seattle , WA",9/21/1950,Florida State,Retired,,2 Seasons,77,,,Dick Amman,,dickamman/2508441,,245,1972 - 1973
54,"Jackson , MS",7/5/1962,Cincinnati,Retired,,5 Seasons,75,,,Antonio Gibson,,antoniogibson/2514826,,206,1986 - 1992
61,"Santa Monica , CA",3/12/1956,South Dakota State,Retired,,3 Seasons,74,,,Bill Matthews,,billmatthews/2520368,,235,1979 - 1981
81,"Renton , PA",9/4/1935,Michigan State,Retired,,4 Seasons,72,,,Vic Zucco,,viczucco/2529689,,187,1957 - 1960
33,,9/15/1983,Auburn,Retired,,1 Season,71,,,Kenny Irons,,kennyirons/2495639,,200,2007 - 2007
57,"Denver , CO",1/15/1960,Arkansas,Retired,,8 Seasons,75,,,Steve Korte,,stevekorte/2518741,,265,1983 - 1990
47,"Monroe , LA",5/12/1970,Grambling State,Retired,,4 Seasons,77,,,Stevie Anderson,,stevieanderson/2499435,,216,1993 - 1996
,"West Duluth , MN",8/16/1899,Valparaiso,Retired,,1 Season,69,,,Dewey Scanlon,,deweyscanlon/2524986,,192,1926 - 1926
53,"Tazewell , TN",5/19/1964,Kentucky,Retired,,1 Season,72,,,Tony Mayes,,tonymayes/2520426,,200,1987 - 1987
,"Tonawanda , NY",3/31/1917,Pittsburgh,Retired,,9 Seasons,72,,,Ben Kish,,benkish/2518569,,207,1940 - 1949
35,"Franklin , IN",9/2/1981,Purdue,Retired,,11 Seasons,76,,,Nick Hardwick,,nickhardwick/2505997,,305,2004 - 2014
53,"San Diego , CA",10/3/1963,Cal State-Fullerton,Retired,,4 Seasons,78,,,Daren Gilbert,,darengilbert/2514856,,285,1985 - 1988
39,"Gaithersburg , MD",9/21/1977,Robert Morris,Retired,,12 Seasons,75,,,Hank Fraley,,hankfraley/2503982,,310,2000 - 2011
49,"Columbus , OH",8/16/1967,Ohio Northern,Retired,,3 Seasons,69,,,Stacey Hairston,,staceyhairston/2500957,,185,1993 - 1995
28,,6/23/1988,Connecticut,Retired,,2 Seasons,75,,,Derek Chard,,derekchard/2530571,,237,2011 - 2012
,"Skiatook , OK",1/25/1916,Oklahoma,Retired,,6 Seasons,75,,,Frank Ivy,,frankivy/2517216,,208,1940 - 1947
55,"Birmingham , AL",10/25/1961,Arizona State,Retired,,6 Seasons,74,,,Vernon Maxwell,,vernonmaxwell/2520409,,233,1983 - 1989
26,,5/4/1991,Middle Tennessee State,Active,Tennessee Titans,1st season,75,,,Jimmy Staten,,jimmystaten/2550146,DT,311,
39,"Warner Robins , GA",6/19/1977,Georgia Southern,Retired,,9 Seasons,71,,,Kiwaukee Thomas,,kiwaukeethomas/2504127,,188,2000 - 2008
25,,1/17/1992,Purdue,Active,Tampa Bay Buccaneers,3rd season,77,Creekview HS,"Carrolton, TX",Ryan Russell,,ryanrussell/2552277,DE,275,
38,"Anniston , AL",3/20/1979,Troy,Retired,,4 Seasons,72,,,Jonathan Carter,,jonathancarter/2504601,,180,2001 - 2004
58,"Erie , PA",9/25/1958,Ohio State,Retired,,1 Season,75,,,Al Washington,,alwashington/2528270,,235,1981 - 1981
30,"Pittsburgh , PA",9/19/1986,South Carolina,Active,Tennessee Titans,9th season,74,Hickory HS,NC,Ryan Succop,4,ryansuccop/89802,K,218,
91,"Faust , NY",11/17/1925,Pepperdine,Retired,,1 Season,71,,,Tom Bedore,,tombedore/2509293,,193,1944 - 1944
,,,Carlisle,Retired,,1 Season,68,,,Stillwell Saunooke,,stillwellsaunooke/2524951,,175,1922 - 1922
,"Palmdale , CA",8/12/1935,San Diego,Retired,,3 Seasons,72,,,Vern Valdez,,vernvaldez/2527829,,190,1960 - 1962
67,"Paterson , NJ",8/12/1949,Ohio State,Retired,,2 Seasons,71,,,Bruce Jankowski,,brucejankowski/2517411,,185,1971 - 1972
,"Llewellyn , PA",12/4/1899,Lafayette,Retired,,6 Seasons,71,,,Jack Ernst,,jackernst/2513691,,180,1925 - 1930
46,"Norfolk , VA",10/5/1970,Kansas State,Retired,,6 Seasons,69,,,Thomas Randolph,,thomasrandolph/2502582,,185,1994 - 1999
56,"Los Angeles , CA",10/28/1960,Bishop,Retired,,2 Seasons,70,,,Dennis DeVaughn,,dennisdevaughn/2512859,,175,1982 - 1983
,"Charleston , WV",9/8/1957,West Virginia,Retired,,2 Seasons,74,,,Walt Easley,,walteasley/2513411,,226,1981 - 1982
24,"Texarkana , TX",5/20/1993,Wyoming,Active,Dallas Cowboys,Rookie,73,,,Lucas Wacha,,lucaswacha/2559275,LB,214,
31,Yokosuka Japan,9/23/1985,Florida,Retired,,6 Seasons,75,,,Marcus Thomas,,marcusthomas/2507202,,316,2007 - 2012
58,"Stockton , CA",9/26/1958,Colorado,Retired,,1 Season,76,,,George Visger,,georgevisger/2527984,,250,1980 - 1980
31,,8/28/1985,Memphis,Retired,,1 Season,78,,,Brandon Pearce,,brandonpearce/2507677,,290,2009 - 2009
34,"Canton , OH",10/8/1982,Ohio State,Retired,,5 Seasons,71,,,Dustin Fox,,dustinfox/2506419,,200,2005 - 2009
56,"Encino , CA",3/16/1961,San Diego State,Retired,,1 Season,76,,,Todd Seabaugh,,toddseabaugh/2525251,,225,1984 - 1984
,"Los Angeles , CA",8/31/1918,UCLA,Retired,,3 Seasons,73,,,Kenny Washington,,kennywashington/2528296,,212,1946 - 1948
79,"Bedford , VA",8/9/1937,Virginia Military Inst.,Retired,,1 Season,74,,,Pete Johnson,,petejohnson/2517736,,200,1959 - 1959
,"Newark , NJ",8/16/1924,North Carolina,Retired,,1 Season,75,,,Art Weiner,,artweiner/2528466,,212,1950 - 1950
60,"Jackson , MS",1/18/1957,Utah State,Retired,,4 Seasons,75,,,John Thompson,,johnthompson/2527343,,228,1979 - 1982
55,"Titusville , FL",4/18/1962,Florida,Retired,,12 Seasons,73,,,Wilber Marshall,,wilbermarshall/2501881,,231,1984 - 1995
78,"Levelland , TX",4/14/1939,Southern Methodist,Retired,,7 Seasons,73,,,Frank Jackson,,frankjackson/2517251,,185,1961 - 1967
26,"Rochester , MI",1/5/1991,Central Michigan,Active,Kansas City Chiefs,5th season,79,Stoney Creek HS,"Rochester, MI",Eric Fisher,72,ericfisher/2539213,T,315,
54,"Huntington Beach , CA",8/16/1962,Kansas,Retired,,2 Seasons,73,,,Frank Seurer,,frankseurer/2525343,,195,1986 - 1987
31,"Atlanta , GA",10/21/1985,Notre Dame,Retired,,2 Seasons,71,,,Darius Walker,,dariuswalker/2495770,,205,2007 - 2009
25,"Charlotte , NC",6/5/1992,Appalachian State,Active,Houston Texans,3rd season,78,David W. Butler HS,"Matthews, NC",Kendall Lamm,63,kendalllamm/2553549,T,310,
,"Lexington , MO",4/4/1973,Kansas,Retired,,5 Seasons,73,,,Chris Banks,,chrisbanks/2499519,,315,1996 - 2001
23,"Encino , CA",6/26/1993,Arizona State,Active,New England Patriots,1st season,74,Crespi Carmelite HS,"Encino, CA",Devin Lucien,16,devinlucien/2556185,WR,200,
94,"Carnegie , PA",7/27/1922,Manhattan,Retired,,1 Season,73,,,Frank Damiani,,frankdamiani/2512419,,225,1944 - 1944
72,"Sandersville , MS",5/28/1945,Southern Mississippi,Retired,,3 Seasons,72,,,Doug Satcher,,dougsatcher/2524931,,220,1966 - 1968
,"Waukegan , IL",10/5/1902,Illinois,Retired,,1 Season,71,,,Harry Hall,,harryhall/2515633,,165,1925 - 1925
41,"Boston , MA",8/10/1975,Saginaw Valley State,Retired,,6 Seasons,75,,,Lamar King,,lamarking/2501618,,311,1999 - 2004
31,"Los Angeles , CA",5/14/1986,USC,Active,Green Bay Packers,9th season,75,Agoura HS,"Agoura Hills, CA",Clay Matthews,52,claymatthews/80431,OLB,255,
28,"Lakeland , FL",10/27/1988,Louisville,Active,New York Jets,7th season,70,Lake Gibson HS,"Lakeland, FL",Bilal Powell,29,bilalpowell/2495328,RB,204,
58,"Yakima , WA",4/28/1959,Washington State,Retired,,5 Seasons,74,,,Scott Pelluer,,scottpelluer/2522965,,219,1981 - 1985
60,"Pine Bluff , AR",12/24/1956,Baylor,Retired,,14 Seasons,75,,,Ronnie Lee,,ronnielee/2501721,,236,1979 - 1992
76,"La Grande , OR",6/19/1940,Oregon State,Retired,,1 Season,74,,,Frank Marsh,,frankmarsh/2520188,,205,1967 - 1967
,"Stanberry , MO",1/4/1893,Truman State,Retired,,2 Seasons,,,,Leo Petree,,leopetree/2523112,,200,1920 - 1922
,"Gary , IN",9/29/1916,Indiana,Retired,,5 Seasons,74,,,Emil Uremovich,,emiluremovich/2527811,,233,1941 - 1948
39,"Fredericksburg , VA",6/11/1977,Boston College,Retired,,4 Seasons,76,,,Darnell Alford,,darnellalford/2504288,,325,2000 - 2006
33,,11/9/1983,Liberty,Retired,,1 Season,77,,,Stephen Sene,,stephensene/2525325,,326,2008 - 2008
26,,9/4/1990,Vanderbilt,Retired,,1 Season,77,,,Walker May,,walkermay/2550226,,250,2014 - 2014
33,,7/4/1983,Florida A&M,Retired,,0 Season,78,,,Dan Parrish,,danparrish/2522789,,348,2007 - 2007
,"New York , NY",1/23/1914,Fordham,Retired,,6 Seasons,73,,,Joe Maniaci,,joemaniaci/2520063,,212,1936 - 1941
65,"Normal , IL",6/18/1951,Illinois,Retired,,2 Seasons,77,,,Mike Wells,,mikewells/2528512,,225,1975 - 1977
49,"Griffin , GA",8/19/1967,Mississippi,Retired,,6 Seasons,70,,,Randy Baldwin,,randybaldwin/2499508,,220,1991 - 1996
35,,7/23/1981,South Carolina,Retired,,1 Season,74,,,Corey Peoples,,coreypeoples/2506328,,212,2006 - 2006
37,"New Orleans , LA",7/22/1979,Southern University,Retired,,1 Season,73,,,Devin Lewis,,devinlewis/2504859,,210,2003 - 2003
36,"Edina , MN",8/12/1980,Wyoming,Retired,,8 Seasons,79,,,Adam Goldberg,,adamgoldberg/2505336,,305,2004 - 2011
24,"Atlanta , GA",4/28/1993,Clemson,Active,Atlanta Falcons,3rd season,72,Rockdale County HS,"Conyers, GA",Grady Jarrett,97,gradyjarrett/2552327,DT,305,
53,"Little Rock , AR",5/7/1964,Oklahoma State,Retired,,13 Seasons,76,,,Leslie O'Neal,,leslieo'neal/2502328,,281,1986 - 1999
80,"Baytown , TX",9/22/1936,Oregon State,Retired,,5 Seasons,75,,,Ted Bates,,tedbates/2509154,,219,1959 - 1963
,,,Hawaii,Active,Denver Broncos,Rookie,74,,,Jerrol Garcia-Williams,,jerrolgarcia-williams/2559174,LB,216,
71,"Hearne , TX",2/4/1946,Texas A&M,Retired,,5 Seasons,75,,,Steve O'Neal,,steveo'neal/2522506,,185,1969 - 1973
,"New Philadelphia , OH",9/18/1933,Ohio State,Retired,,1 Season,74,,,Dave Leggett,,daveleggett/2519319,,198,1955 - 1955
61,"Portland , OR",1/9/1956,Notre Dame,Retired,,2 Seasons,76,,,Ken MacAfee,,kenmacafee/2519886,,250,1978 - 1979
28,,6/29/1988,New Mexico Highlands,Retired,,3 Seasons,71,,,Jordan Campbell,,jordancampbell/2541613,,240,2013 - 2015
28,"Sapelo Island , GA",3/25/1989,Miami (Fla.),Active,Kansas City Chiefs,7th season,75,McIntosh Co. HS,"Darien, GA",Allen Bailey,97,allenbailey/2495116,DE,288,
,"Duluth , MN",6/6/1902,No College,Retired,,3 Seasons,,,,Roy Vexall,,royvexall/2527957,,190,1923 - 1925
,"Wyckoff , NJ",10/25/1920,William & Mary,Retired,,1 Season,71,,,Al Vandeweghe,,alvandeweghe/2527852,,200,1946 - 1946
,"Austin , TX",1/14/1926,Texas,Retired,,2 Seasons,70,,,Jim Canady,,jimcanady/2511007,,178,1948 - 1949
29,"San Antonio , TX",1/15/1988,Oklahoma,Retired,,4 Seasons,74,,,Travis Lewis,,travislewis/2532892,,235,2012 - 2015
,"Springfield , OH",6/3/1898,Illinois,Retired,,2 Seasons,71,,,Jerry Zeller,,jerryzeller/2529637,,170,1921 - 1922
31,"Orange County , CA",6/3/1986,Texas-El Paso,Retired,,3 Seasons,75,,,Robby Felix,,robbyfelix/71297,,295,2009 - 2011
40,"Bridgeport , PA",9/6/1976,Penn State,Retired,,6 Seasons,75,,,Brad Scioli,,bradscioli/2502866,,280,1999 - 2004
26,,12/11/1990,Rutgers,Retired,,2 Seasons,75,,,Mark Harrison,,markharrison/2540262,,230,2013 - 2014
,"Bakersfield , CA",1/21/1941,Washington,Retired,,14 Seasons,75,,,Ray Mansfield,,raymansfield/2520088,,250,1963 - 1976
23,"Greensboro , NC",10/27/1993,Virginia Tech,Active,Arizona Cardinals,Rookie,77,,,Jonathan McLaughlin,,jonathanmclaughlin/2559212,OT,313,
50,"Albany , GA",6/18/1966,Brigham Young,Retired,,2 Seasons,68,,,Rodney Rice,,rodneyrice/2524066,,180,1989 - 1990
30,"Houston , TX",10/29/1986,Duke,Retired,,1 Season,71,,,Michael Tauiliili,,michaeltauiliili/2507715,,235,2009 - 2009
33,"Raleigh , NC",6/6/1984,North Carolina State,Retired,,7 Seasons,75,,,Leroy Harris,,leroyharris/2507199,,303,2007 - 2013
67,"Omaha , NE",4/12/1950,Nebraska,Retired,,3 Seasons,74,,,Jerry Tagge,,jerrytagge/2526982,,220,1972 - 1974
,"Lewistown , IL",1/6/1899,Illinois,Retired,,2 Seasons,70,,,Jack Depler,,jackdepler/2512817,,220,1921 - 1929
31,"Whiting , NJ",6/6/1986,Rutgers,Retired,,3 Seasons,74,,,Kevin Malast,,kevinmalast/2507582,,235,2009 - 2012
26,Milan Italy,7/16/1990,California,Active,Oakland Raiders,1st season,70,,,Giorgio Tavecchio,,giorgiotavecchio/2535686,K,180,
,"Newark , OH",1/10/1921,Indiana,Retired,,1 Season,72,,,John Tavener,,johntavener/2527058,,225,1946 - 1946
77,"Madison , IL",3/19/1940,Iowa,Retired,,1 Season,70,,,Larry Ferguson,,larryferguson/2513956,,195,1963 - 1963
75,"Dallas , TX",3/6/1942,Tulsa,Retired,,7 Seasons,72,,,Jerry Rhome,,jerryrhome/2524041,,190,1965 - 1971
58,"Quincy , FL",8/2/1958,Alabama State,Retired,,4 Seasons,74,,,Rodell Thomas,,rodellthomas/2527282,,225,1981 - 1984
,"Raub , IN",4/28/1893,Notre Dame,Retired,,3 Seasons,70,,,Emmett Keefe,,emmettkeefe/2518216,,195,1920 - 1922
31,"The Woodlands , TX",11/2/1985,Texas Tech,Active,New England Patriots,9th season,71,The Woodlands HS,TX,Danny Amendola,80,dannyamendola/2649,WR,190,
28,,1/18/1989,Brigham Young,Retired,,1 Season,74,,,Eathyn Manumaleuna,,eathynmanumaleuna/2550303,,305,2014 - 2014
54,"Newark , NJ",9/23/1962,Syracuse,Retired,,9 Seasons,76,,,Mike Charles,,mikecharles/2511368,,283,1983 - 1991
,"Ashtabula , OH",1/9/1901,Allegheny,Retired,,4 Seasons,75,,,Babe Parnell,,babeparnell/2522783,,205,1925 - 1928
54,"Milltown , NJ",3/26/1963,Virginia,Retired,,1 Season,75,,,Geno Zimmerlink,,genozimmerlink/2529661,,222,1987 - 1987
60,"Bermuda , CO",4/28/1957,Catawba,Retired,,1 Season,74,,,Ken Hartley,,kenhartley/2516039,,200,1981 - 1981
,"Los Angeles , CA",5/25/1891,Carlisle,Retired,,1 Season,67,,,Woodchuck Welmas,,woodchuckwelmas/2528518,,170,1923 - 1923
61,"Dayton , OH",1/23/1956,Michigan State,Retired,,1 Season,73,,,Jim Earley,,jimearley/2513404,,230,1978 - 1978
35,"Detroit , MI",2/22/1982,Howard,Retired,,9 Seasons,73,,,Ron Bartell,,ronbartell/2506389,,210,2005 - 2013
,"Monroe , LA",11/7/1933,San Jose State,Retired,,3 Seasons,72,,,Charlie Hardy,,charliehardy/2515820,,183,1960 - 1962
28,,5/28/1989,Villanova,Retired,,1 Season,72,,,Terence Thomas,,terencethomas/2531181,,235,2011 - 2011
33,,4/24/1984,Washington,Retired,,1 Season,75,,,Juan Garcia,,juangarcia/81823,,294,2009 - 2009
55,"Pittsburgh , PA",9/15/1961,Pittsburgh,Retired,,17 Seasons,76,,,Dan Marino,,danmarino/2501869,,228,1983 - 1999
33,"Bridgeport , CT",8/18/1983,Connecticut,Unsigned free agent,Detroit Lions,12th season,77,Shelton HS,CT,Dan Orlovsky,8,danorlovsky/2506481,QB,215,
55,"Philadelphia , PA",2/10/1962,Southern Methodist,Retired,,6 Seasons,74,,,Russell Carter,,russellcarter/2511208,,195,1984 - 1989
23,"North Little Rock , AR",8/5/1993,Arkansas,Active,Washington Redskins,3rd season,72,North Little Rock HS,AR,Martrell Spaight,50,martrellspaight/2552316,OLB,238,
22,"Anniston , AL",1/16/1995,Alabama,Active,Washington Redskins,Rookie,75,Stone Bridge HS,"Ashburn, VA",Jonathan Allen,,jonathanallen/2557844,DE,291,
26,,12/25/1990,Maryland,Retired,,1 Season,70,,,Cameron Chism,,cameronchism/2534887,,190,2012 - 2012
42,"Tennille , GA",10/2/1974,Georgia,Retired,,4 Seasons,71,,,Robert Edwards,,robertedwards/2500518,,220,1998 - 2002
,"Bellevue , KY",10/20/1925,Indiana,Retired,,2 Seasons,72,,,Bob Ravensberg,,bobravensberg/2523786,,190,1948 - 1949
34,,1/30/1983,Columbia,Retired,,1 Season,74,,,Jeff Otis,,jeffotis/2506873,,208,2006 - 2009
35,,2/7/1982,Stanford,Retired,,1 Season,75,,,Scott Scharff,,scottscharff/2506174,,277,2006 - 2007
26,"Dallas , TX",7/17/1990,Baylor,Retired,,2 Seasons,71,,,Lanear Sampson,,lanearsampson/2540266,,205,2013 - 2014
28,,11/12/1988,Oklahoma State,Retired,,1 Season,78,,,Levy Adcock,,levyadcock/2532784,,324,2012 - 2012
31,,1/7/1986,Connecticut,Retired,,1 Season,73,,,Dan Davis,,dandavis/2512539,,275,2008 - 2008
41,"Antioch , CA",3/23/1976,California,Retired,,11 Seasons,77,,,Jeremy Newberry,,jeremynewberry/2502281,,315,1998 - 2008
,"Cambridge , MA",1/25/1915,Boston College,Retired,,1 Season,70,,,Vito Ananis,,vitoananis/2508452,,195,1945 - 1945
,"Merced , CA",6/9/1934,Stanford,Retired,,1 Season,69,,,Don Manoukian,,donmanoukian/2520085,,242,1960 - 1960
86,"Ballston Spa , NY",7/17/1930,California,Retired,,8 Seasons,76,,,Gerry Perry,,gerryperry/2523049,,237,1954 - 1962
22,"Philadelphia , PA",2/22/1995,West Virginia,Active,Carolina Panthers,2nd season,73,William Penn Charter School HS,"Philadelphia, PA",Daryl Worley,26,darylworley/2555394,CB,205,
90,,4/25/1927,No College,Retired,,3 Seasons,72,,,Eddie Carr,,eddiecarr/2511123,,185,1947 - 1949
23,"Rochester Hills , MI",9/10/1993,Central Florida,Active,Baltimore Ravens,3rd season,74,Arabia Mountain HS,"Lithonia, GA",Breshad Perriman,18,breshadperriman/2552597,WR,215,
25,"Farmington Hills , MI",8/6/1991,Duke,Active,Pittsburgh Steelers,4th season,72,Charlotte Latin HS,NC,Ross Cockrell,31,rosscockrell/2543799,CB,191,
51,"Gretna , LA",8/21/1965,LSU,Retired,,5 Seasons,71,,,Sammy Martin,,sammymartin/2501890,,175,1988 - 1993
22,"Louisville , KY",7/8/1994,Louisville,Active,Pittsburgh Steelers,Rookie,76,Eastern HS,"Eastern, KY",Colin Holba,,colinholba/2558180,LS,248,
,Woodbridge England,1/6/1975,Washington,Retired,,1 Season,72,,,Mike Reed,,mikereed/2523872,,215,1998 - 1998
29,"Chico , CA",5/21/1988,Boise State,Retired,,3 Seasons,74,,,Chase Baker,,chasebaker/2535694,,300,2012 - 2014
23,"Waco , TX",1/10/1994,Baylor,Active,Denver Broncos,Rookie,74,,,Orion Stewart,,orionstewart/2559258,DB,185,
37,"Lafayette , LA",5/1/1980,LSU,Retired,,9 Seasons,70,,,Josh Reed,,joshreed/2505036,,210,2002 - 2010
67,"Carrollton , MO",9/17/1949,Yale,Retired,,3 Seasons,71,,,Don Martin,,donmartin/2520235,,187,1973 - 1976
24,"East Haven , CT",12/22/1992,Temple,Active,Pittsburgh Steelers,2nd season,73,St. Joseph HS,"Trumbull, CT",Tyler Matakevich,44,tylermatakevich/2555171,OLB,235,
48,"Montgomery , AL",11/3/1968,North Carolina State,Retired,,4 Seasons,70,,,Fernandus Vinson,,fernandusvinson/2503474,,197,1991 - 1994
23,"Long Beach , CA",1/27/1994,UCLA,Active,Philadelphia Eagles,Rookie,70,,,Randall Goforth,,randallgoforth/2559302,DB,190,
28,,5/24/1989,Tulsa,Retired,,2 Seasons,76,,,Odrick Ray,,odrickray/2530727,,275,2011 - 2012
45,"Silverton , OR",2/28/1972,Montana,Retired,,11 Seasons,80,,,Scott Gragg,,scottgragg/2500854,,315,1995 - 2005
41,"Philadelphia , PA",4/8/1976,Maryland,Retired,,1 Season,74,,,John Waerig,,johnwaerig/2503928,,254,2001 - 2001
25,,8/9/1991,Tiffin University,Retired,,1 Season,72,,,Brandon Person,,brandonperson/2553841,,220,2015 - 2015
53,"Granada Hills , CA",7/14/1963,Colorado State,Retired,,10 Seasons,76,,,Harper LeBel,,harperlebel/2501712,,250,1989 - 1998
65,"Eureka , CA",5/19/1952,Santa Clara,Retired,,1 Season,75,,,Mike Nott,,mikenott/2522285,,203,1976 - 1976
79,"Danville , KY",12/30/1937,Ohio State,Retired,,20 Seasons,76,,,Jim Marshall,,jimmarshall/2520204,,248,1960 - 1979
,"South Bend , IL",2/22/1900,DePaul,Retired,,2 Seasons,,,,John Scanlon,,johnscanlon/2524987,,185,1921 - 1926
,"Manchester , NH",12/5/1898,Georgetown,Retired,,1 Season,69,,,Bill Kenyon,,billkenyon/2518354,,180,1925 - 1925
,,8/17/1895,Penn State,Retired,,1 Season,70,,,Whitey Thomas,,whiteythomas/2527292,,180,1924 - 1924
30,,4/7/1987,Stillman,Retired,,1 Season,72,,,Michael Ricks,,michaelricks/2530597,,189,2011 - 2011
,"Hearne , TX",8/1/1941,Texas Southern,Retired,,1 Season,73,,,B.W. Cheeks,,b.w.cheeks/2511395,,229,1965 - 1965
,"Cambridge , MA",2/10/1903,Ohio Wesleyan,Retired,,1 Season,73,,,Don Nelson,,donnelson/2522022,,210,1926 - 1926
27,,9/4/1989,Tennessee-Chattanooga,Retired,,1 Season,78,,,Chris Harr,,chrisharr/2530509,,260,2011 - 2011
54,"Mobile , AL",1/11/1963,Mississippi Valley State,Retired,,1 Season,71,,,Louis Watson,,louiswatson/2528362,,175,1987 - 1987
50,"Plant City , FL",8/15/1966,Florida A&M,Retired,,3 Seasons,71,,,Derrick Gainer,,derrickgainer/2500737,,240,1990 - 1993
,"Burnt Prairie , IL",1/19/1906,Southern Illinois,Retired,,1 Season,72,,,Abe Martin,,abemartin/2520257,,185,1932 - 1932
,"Indianapolis , IN",9/6/1922,Purdue,Retired,,7 Seasons,71,,,Babe Dimancheff,,babedimancheff/2512944,,178,1945 - 1952
,"Chicago , IL",12/11/1925,Notre Dame,Retired,,7 Seasons,71,,,Elmer Angsman,,elmerangsman/2508577,,200,1946 - 1952
34,"Passaic , NJ",9/17/1982,Michigan State,Retired,,0 Season,77,,,Stefon Wheeler,,stefonwheeler/2528612,,330,2006 - 2006
62,"Brenham , TX",4/24/1955,Baylor,Retired,,6 Seasons,74,,,Cleveland Franklin,,clevelandfranklin/2514359,,216,1977 - 1982
,"Union Springs , AL",6/29/1939,Northwestern,Retired,,2 Seasons,73,,,Fate Echols,,fateechols/2513440,,260,1962 - 1963
57,"Bend , OR",11/4/1959,Stanford,Retired,,3 Seasons,71,,,Rick Gervais,,rickgervais/2514784,,190,1981 - 1983
24,"Richmond , VA",12/28/1992,Ohio State,Active,New York Giants,1st season,74,,,Curtis Grant,,curtisgrant/2553885,LB,240,
42,Essen Germany,4/6/1975,Idaho,Retired,,2 Seasons,78,,,Patrick Venzke,,patrickvenzke/2504392,,316,2001 - 2004
31,"Bedford , TX",7/23/1985,Iowa,Retired,,9 Seasons,79,,,Scott Chandler,,scottchandler/2495573,,260,2007 - 2015
28,,2/15/1989,Temple,Retired,,1 Season,76,,,Matt Balasavage,,mattbalasavage/2536002,,250,2012 - 2012
27,,10/20/1989,South Florida,Retired,,1 Season,75,,,Danous Estenor,,danousestenor/2542312,,307,2013 - 2013
22,"Clairton , PA",11/15/1994,Pittsburgh,Active,Cincinnati Bengals,2nd season,74,Clairton HS,PA,Tyler Boyd,83,tylerboyd/2555466,WR,197,
32,"Hutchinson , MN",5/14/1985,South Dakota State,Retired,,2 Seasons,76,,,Mitch Erickson,,mitcherickson/2507327,,290,2008 - 2010
,"Harrisburg , PA",5/30/1917,North Carolina,Retired,,2 Seasons,72,,,Steve Maronic,,stevemaronic/2520174,,225,1939 - 1940
69,"Braddock , PA",9/2/1947,Miami (Fla.),Retired,,1 Season,75,,,Dave Kalina,,davekalina/2518105,,205,1970 - 1970
46,"Cleveland , OH",3/28/1971,California,Retired,,2 Seasons,74,,,Mike Caldwell,,mikecaldwell/2499966,,200,1995 - 1996
39,"Waterloo , IA",12/22/1977,Arkansas,Retired,,9 Seasons,70,,,David Barrett,,davidbarrett/2504111,,195,2000 - 2008
61,"Cincinatti , OH",1/14/1956,Ball State,Retired,,7 Seasons,70,,,Maurice Harvey,,mauriceharvey/2516062,,190,1978 - 1987
69,"Corpus Christi , TX",9/23/1947,Cameron,Retired,,3 Seasons,76,,,Ed Marshall,,edmarshall/2520197,,199,1971 - 1977
,American Samoa,11/28/1969,San Diego State,Retired,,8 Seasons,78,,,Pio Sagapolutele,,piosagapolutele/2502802,,297,1991 - 1998
,"Philadelphia , PA",1/24/1913,St. Louis,Retired,,1 Season,71,,,Carl Kane,,carlkane/2518118,,195,1936 - 1936
48,"St. Cloud , MN",1/15/1969,Minnesota,Retired,,3 Seasons,76,,,Chris Thome,,christhome/2503330,,278,1991 - 1993
37,"Uniontown , PA",6/15/1979,Western Illinois,Retired,,10 Seasons,72,,,William James,,williamjames/2504638,,200,2001 - 2010
34,"Longview , TX",6/23/1982,Louisiana Tech,Retired,,12 Seasons,73,,,Josh Scobee,,joshscobee/2506063,,200,2004 - 2015
30,"Spokane , WA",5/4/1987,West Texas A&M,Unsigned free agent,Philadelphia Eagles,7th season,77,Spokane Shadle Park HS,WA,Bryan Braman,56,bryanbraman/2530666,DE,241,
43,"Miami , FL",12/23/1973,Cincinnati,Retired,,1 Season,73,,,Anthony Ladd,,anthonyladd/2501676,,193,1998 - 1998
27,,11/24/1989,Northern Arizona,Retired,,1 Season,79,,,Trey Gilleo,,treygilleo/2541928,,309,2013 - 2013
53,"Columbia , SC",10/8/1963,Temple,Retired,,1 Season,71,,,Anthony Young,,anthonyyoung/2529535,,187,1985 - 1985
52,"Virginia Beach , VA",3/21/1965,Appalachian State,Retired,,1 Season,73,,,Russell Payne,,russellpayne/2522902,,240,1987 - 1987
29,"Opa Locka , FL",11/19/1987,Duke,Unsigned free agent,San Francisco 49ers,5th season,74,Hialeah Miami Lakes HS,"Hialeah, FL",Thad Lewis,9,thadlewis/497121,QB,219,
53,"San Francisco , CA",12/30/1963,UCLA,Retired,,10 Seasons,77,,,Robert Jenkins,,robertjenkins/2501390,,295,1987 - 1996
64,"Brenham , TX",1/31/1953,Texas,Retired,,9 Seasons,70,,,Roosevelt Leaks,,rooseveltleaks/2519220,,225,1975 - 1983
60,"Richmond , IN",3/6/1957,Notre Dame,Retired,,4 Seasons,73,,,Vagas Ferguson,,vagasferguson/2513960,,204,1980 - 1983
21,"Fort Lauderdale , FL",9/3/1995,North Carolina State,Active,Cleveland Browns,Rookie,69,Cypress Bay HS,"Weston, FL",Matt Dayes,,mattdayes/2557987,RB,207,
